20231120,2023,TA02,0001,0.158,1200000866,1                 ,L,
20231120,2023,TA02,0001,2.000,1200000829,1                 ,KG,
20231120,2023,TA02,0001,5.000,1200000866,2                 ,L,
20231120,2023,TA02,0001,5.000,2100001101,1                 ,KG,
20231120,2023,TA02,0001,10.000,2100001181,1                 ,KG,
20231120,2023,TA02,0001,10.000,2100001550,1                 ,KG,
20231120,2023,TA02,0002,3.000,1100001870,1                 ,L,
20231120,2023,TA02,0002,3.000,1200000829,4                 ,KG,
20231120,2023,TA02,0002,3.000,1200000866,1                 ,L,
20231120,2023,TA02,0002,20.000,2100001181,1                 ,KG,
